Fabricante,Descripción,Datos,Precio_£,Ciudad
Vauxhall Astra,1.6 TECH LINE NAV CDTI ECOTEC S/S 5d 109 BHP,"84,650 miles
2019 reg
Manual
Diesel","£6,700",Peterborough
Vauxhall Astra,1.0 DESIGN ECOTEC S/S 5d 104 BHP,"81,866 miles
2019 reg
Manual
Petrol","£6,700",Peterborough
Vauxhall ADAM,Jam,"36,571 miles
2015 reg
Manual
Petrol","£6,700",Cleveland
Renault Clio,1.2 16V Dynamique Nav (75 ps),"58,900 miles
2017 reg
Manual
Petrol","£6,742",Nationwide delivery available
Kia Picanto,1,"35,700 miles
2018 reg
Manual
Petrol","£6,750",Liverpool
Dacia Sandero Stepway,SANDERO STEPWAY ESSENTIAL TCE,"58,313 miles
2019 reg
Manual
Petrol","£6,779",Stevenage
Mazda Mazda6,2.2 D SPORT NAV 4d 148 BHP,"80,746 miles
2014 reg
Manual
Diesel","£6,790",Peterborough
Citroen C1,1.2 PURETECH FURIO 3d 82 BHP,"23,511 miles
2017 reg
Manual
Petrol","£6,790",Peterborough
Hyundai i10,i10 1.0 Premium Hatchback 5dr Petrol Manual Euro 5 (66 ps),"26,328 miles
2014 reg
Manual
Petrol","£6,795",Torquay
Suzuki Swift,SZ3,"49,847 miles
2015 reg
Manual
Petrol","£6,795",Sheffield
Hyundai i10,GO! SE,"59,819 miles
2018 reg
Manual
Petrol","£6,795",Cleveland
Smart Forfour,Prime,"25,598 miles
2016 reg
Manual
Petrol","£6,795",Sheffield
Fiat 500,Lounge,"51,107 miles
2017 reg
Manual
Petrol","£6,795",Doncaster
Smart Forfour,Edition White,"53,003 miles
2016 reg
Manual
Petrol","£6,795",Sheffield
Fiat 500,Lounge,"44,550 miles
2017 reg
Manual
Petrol","£6,850",Newcastle
Citroen C1,PURETECH FLAIR,"31,636 miles
2018 reg
Manual
Petrol","£6,879",Stevenage
Dacia Sandero,1.0L COMFORT SCE 5D 73 BHP,"39,142 miles
2018 reg
Manual
Petrol","£6,879",Stevenage
Vauxhall Astra,1.6 CDTi ecoTEC BlueInjection SRi (110 ps),"53,800 miles
2015 reg
Manual
Diesel","£6,899",Nationwide delivery available
Dacia Sandero,0.9 TCe Essential (90 ps),"36,039 miles
2019 reg
Manual
Petrol","£6,900",Nationwide delivery available
Hyundai i20,MPI SE,"74,437 miles
2017 reg
Manual
Petrol","£6,900",Peterborough
Renault Clio,1.5 dCi Dynamique S Nav EDC (90 ps),"78,465 miles
2016 reg
Automatic
Diesel","£6,933",Nationwide delivery available
Kia Rio,1.4L 3 ISG 5d 107 BHP,"50,745 miles
2015 reg
Manual
Petrol","£6,950",Watford
Ford Kuga,2.0L TITANIUM TDCI 5d 148 BHP,"91,746 miles
2015 reg
Manual
Diesel","£6,950",Watford
Ford Kuga,2.0L TITANIUM X SPORT TDCI 5d 148 BHP,"100,939 miles
2014 reg
Manual
Diesel","£6,950",Watford
Hyundai i10,1.0L GO SE 5D 65 BHP,"54,418 miles
2018 reg
Manual
Petrol","£6,979",Stevenage
Fiat 500,1.2L POP 3D 69 BHP,"31,243 miles
2019 reg
Manual
Petrol","£6,979",Stevenage
Ford B-Max,1.0 ZETEC NAVIGATOR 5d 100 BHP,"57,747 miles
2017 reg
Manual
Petrol","£6,990",Peterborough
Kia Ceed,1.6 3 5d AUTO 133 BHP,"76,943 miles
2015 reg
Automatic
Petrol","£6,990",Peterborough
Ford Fiesta,1.0 ST-LINE 3d 124 BHP,"56,127 miles
2017 reg
Manual
Petrol","£6,990",Peterborough
Skoda Rapid Spaceback,1.0 SPACEBACK SE TECH TSI 5d 109 BHP,"87,107 miles
2018 reg
Manual
Petrol","£6,990",Peterborough
Vauxhall Astra,1.0 SRI ECOFLEX S/S 5d 104 BHP,"56,372 miles
2017 reg
Manual
Petrol","£6,990",Peterborough
Vauxhall Viva,1.0 SE AC 5d 74 BHP,"19,683 miles
2016 reg
Manual
Petrol","£6,990",Peterborough
Vauxhall Astra,1.6 TECH LINE NAV CDTI S/S 5d 135 BHP,"80,995 miles
2019 reg
Manual
Diesel","£6,990",Peterborough
Suzuki Swift,1.0 SZ-T BOOSTERJET 5d 111 BHP,"70,318 miles
2018 reg
Manual
Petrol","£6,990",Peterborough
Peugeot 108,1.2 PURETECH ALLURE 5d 82 BHP,"42,976 miles
2018 reg
Manual
Petrol","£6,990",Peterborough
Suzuki Swift,1.0 SZ-T BOOSTERJET 5d 111 BHP,"74,785 miles
2019 reg
Manual
Petrol","£6,990",Peterborough
